t,Main_ActualVehicleSpeed_kph,Main_Battery_Temperature_C,Main_Battery_electrical_i,Main_Battery_electrical_v,Main_BrakeCommand_value,Main_Distance_km,Main_MG_i,Main_MG_v,Main_MotorCommand_value,Main_Range_km,Main_RefereceVehicleSpeed_kph,Main_State_of_Charge_SoC,Power_kW,dT_hr,Energy_kWhr,Cumulative_Energy_Used_kWhr
3,3.126852589,19.99975869,4.83268146,403.7250268,0,0.000348331,88.48605548,22.05609792,88.48605548,120,3.218688,0.23,0.096652463,0.016666667,0.001610874,0.001610874
4,7.601840598,20.00089875,14.38061498,398.5491251,0,0.001822437,109.7401591,52.23484599,109.7401591,120,7.8857856,0.23,0.287625224,0.016666667,0.004793754,0.006404628
5,12.53949354,20.00965662,25.05967591,392.7410297,0,0.004620146,115.4737935,85.23918084,115.4737935,120,13.0356864,0.23,0.50143551,0.016666667,0.008357259,0.014761887
6,17.4959139,20.03234578,35.1118247,387.2527066,0,0.00879903,115.1016207,118.1407142,115.1016207,120,18.1855872,0.23,0.703372213,0.016666667,0.01172287,0.026484757
7,22.47262231,20.07710482,44.42887345,382.1436989,0,0.014359468,112.435006,151.0080678,112.435006,120,23.335488,0.23,0.892003149,0.016666667,0.014866719,0.041351476
8,26.95694389,20.13404563,46.06251191,381.1785368,0,0.021245672,97.78434951,179.5579919,97.78434951,120,27.8416512,0.23,0.927424716,0.016666667,0.015457079,0.056808555
9,30.69528137,20.18723499,44.46925319,381.9649768,0,0.029273902,83.68584119,202.9745666,83.68584119,120,31.5431424,0.23,0.897711264,0.016666667,0.014961854,0.071770409
10,34.15385403,20.24646779,49.09740706,379.3955609,0,0.038287845,82.57728557,225.5815639,82.57728557,120,35.0836992,0.23,0.994049071,0.016666667,0.016567485,0.088337894
11,37.61474508,20.32328692,53.65618575,376.8567714,0,0.048261483,81.47186154,248.1884315,81.47186154,120,38.624256,0.23,1.090470058,0.016666667,0.018174501,0.106512395
12,40.63664535,20.39360038,47.04896876,380.3513681,0,0.059148769,67.15526315,266.4606309,67.15526315,120,41.5210752,0.23,0.959497867,0.016666667,0.015991631,0.122504026
13,42.92263557,20.43868046,36.63782435,385.9209271,0,0.070775077,50.57508088,279.5526124,50.57508088,120,43.6132224,0.23,0.748828785,0.016666667,0.01248048,0.134984505
14,44.509027,20.46198722,29.2633013,389.8758967,0,0.08293372,39.5298927,288.6236637,39.5298927,120,45.061632,0.23,0.598785297,0.016666667,0.009979755,0.14496426
15,46.03150058,20.486126,33.95413044,387.3210919,0,0.095507022,43.98730474,298.9817016,43.98730474,120,46.670976,0.23,0.695588594,0.016666667,0.011593143,0.156557404
16,47.62832578,20.51638724,34.6564719,386.9091538,0,0.108518218,43.35691579,309.2554628,43.35691579,120,48.28032,0.23,0.711025598,0.016666667,0.011850427,0.16840783
17,48.87436625,20.53716874,28.24738816,390.3433745,0,0.1219334,34.85897725,316.3131172,34.85897725,120,49.4068608,0.23,0.580121377,0.016666667,0.00966869,0.17807652
18,50.08738065,20.55916743,32.26790159,388.1504631,0,0.135676338,38.58504743,324.6020518,38.58504743,120,50.694336,0.23,0.663401191,0.016666667,0.011056687,0.189133206
19,51.24140185,20.58151127,30.80848584,388.9111366,0,0.149754897,36.11589474,331.7603913,36.11589474,120,51.8208768,0.23,0.634085199,0.016666667,0.010568087,0.199701293
20,52.34854662,20.60460046,31.86941377,388.3112708,0,0.164144083,36.50857469,338.9654777,36.50857469,120,52.9474176,0.23,0.656656538,0.016666667,0.010944276,0.210645569
21,53.34501834,20.62593842,30.21699857,389.1761904,0,0.178828609,34.07684232,345.0958607,34.07684232,120,53.913024,0.23,0.623253952,0.016666667,0.010387566,0.221033134
22,54.29365025,20.64770739,31.14334196,388.6496321,0,0.193779907,34.4568256,351.2722789,34.4568256,120,54.8786304,0.23,0.643038612,0.016666667,0.01071731,0.231750445
23,55.14617272,20.66800932,28.55507084,390.0194291,0,0.208984829,31.25077322,356.3607375,31.25077322,120,55.6833024,0.23,0.59017647,0.016666667,0.009836275,0.241586719
24,55.73248819,20.68111471,22.97889407,393.0100003,0,0.224392599,25.13074311,359.3439199,25.13074311,120,56.1661056,0.23,0.475229144,0.016666667,0.007920486,0.249507205
25,56.07095979,20.68864535,22.11007591,393.4713321,0,0.239924314,24.07595973,361.3838079,24.07595973,120,56.4879744,0.23,0.457427519,0.016666667,0.007623792,0.257130997
26,56.81072467,20.71050753,34.30659148,386.8651019,0,0.255590153,36.08821479,367.7529903,36.08821479,120,57.4535808,0.23,0.710506921,0.016666667,0.011841782,0.268972779
27,57.36542754,20.72713048,21.71513108,393.6289763,0,0.271462786,23.12429782,369.594607,23.12429782,120,57.7754496,0.23,0.450092355,0.016666667,0.007501539,0.276474318
28,57.39885373,20.7310725,11.32748587,399.2284614,0,0.287413603,12.27254082,368.3839617,12.27254082,120,57.6145152,0.23,0.234830931,0.016666667,0.003913849,0.280388167
29,56.81132972,20.73069942,0.000295511,405.3601403,0,0.303289544,-0.094691077,363.0359308,-0.094691077,120,56.8098432,0.23,6.13E-06,0.016666667,1.02E-07,0.280388269
30,56.10573948,20.73023088,3.137127189,403.6940247,0,0.318968074,3.528222559,358.9815263,3.528222559,120,56.1661056,0.23,0.065033371,0.016666667,0.00108389,0.281472159
31,55.42010455,20.72960645,5.366891993,402.5102105,0,0.334456008,6.09018891,354.9118977,6.09018891,120,55.522368,0.23,0.111253559,0.016666667,0.001854226,0.283326385
32,55.28465054,20.73257055,21.07721641,394.0292459,0,0.349813778,23.31603976,356.2272139,23.31603976,120,55.6833024,0.23,0.436984876,0.016666667,0.007283081,0.290609466
33,55.52780485,20.74277564,25.32748353,391.706776,0,0.36520099,27.68565262,358.3578933,27.68565262,120,56.0051712,0.23,0.525362308,0.016666667,0.008756038,0.299365504
34,55.91680177,20.75822939,30.42457191,388.9213056,0,0.380676011,32.73248225,361.528245,32.73248225,120,56.4879744,0.23,0.631560243,0.016666667,0.010526004,0.309891508
35,56.69673932,20.79175135,40.5836941,383.3887095,0,0.39630778,42.29701478,367.8576323,42.29701478,120,57.4535808,0.23,0.843806076,0.016666667,0.014063435,0.323954943
36,57.453576,20.8263271,34.38872422,386.6741801,0,0.412170107,35.75607984,371.862628,35.75607984,120,58.0973184,0.23,0.716190819,0.016666667,0.011936514,0.335891457
37,57.76773567,20.84353285,26.08103721,391.1221137,0,0.428183775,27.3670433,372.7518561,27.3670433,120,58.2582528,0.23,0.543620956,0.016666667,0.009060349,0.344951806
38,58.12728911,20.86346399,32.75790099,387.4909584,0,0.444274248,33.76430312,375.9425931,33.76430312,120,58.741056,0.23,0.683443288,0.016666667,0.011390721,0.356342527
39,58.49144607,20.88474744,30.46999089,388.6904182,0,0.460475118,31.33498334,377.9597871,31.33498334,120,59.0629248,0.23,0.636358064,0.016666667,0.010605968,0.366948495
40,58.80698045,20.90531215,30.81129019,388.4748549,0,0.476767191,31.49641539,380.0187632,31.49641539,120,59.3847936,0.23,0.644119639,0.016666667,0.010735327,0.377683822
41,59.0224621,20.92315916,27.84808673,390.0443976,0,0.493136267,28.50853746,380.9975246,28.50853746,120,59.545728,0.23,0.582669951,0.016666667,0.009711166,0.387394988
42,59.07429205,20.93619691,25.04442812,391.5351816,0,0.509542212,25.74005567,380.951382,25.74005567,120,59.545728,0.23,0.524335079,0.016666667,0.008738918,0.396133906
43,59.06671997,20.9480278,25.45105,391.2973721,0,0.525950765,26.1419449,380.9577428,26.1419449,120,59.545728,0.23,0.533149303,0.016666667,0.008885822,0.405019728
44,59.05768558,20.96046063,25.94046795,391.013326,0,0.542356923,26.62474425,380.9658284,26.62474425,120,59.545728,0.23,0.543724157,0.016666667,0.009062069,0.414081797
45,59.04873903,20.97353833,26.42564394,390.7301505,0,0.558760576,27.10250161,380.9738316,27.10250161,120,59.545728,0.23,0.554239256,0.016666667,0.009237321,0.423319118
46,59.03343736,20.98704122,27.26158127,390.2571428,0,0.575160729,27.92564312,380.9878425,27.92564312,120,59.545728,0.23,0.57213993,0.016666667,0.009535665,0.432854784
47,59.11737373,21.00478679,31.45337347,387.9699346,0,0.591567105,31.9390873,382.0834331,31.9390873,120,59.7066624,0.23,0.660671404,0.016666667,0.01101119,0.443865974
48,59.34469575,21.02941,36.65659347,385.1301544,0,0.608016607,36.74587314,384.2210767,36.74587314,120,60.0285312,0.23,0.770866533,0.016666667,0.012847776,0.456713749
49,59.92327822,21.07493786,49.25854745,378.2865444,0,0.624571779,47.83785712,389.5485643,47.83785712,120,60.8332032,0.23,1.038120827,0.016666667,0.017302014,0.474015763
50,60.98875713,21.16204651,61.94023088,371.3767333,0,0.641356299,57.80623716,397.9420407,57.80623716,120,62.1206784,0.23,1.310782047,0.016666667,0.021846367,0.495862131
51,62.13622822,21.26323997,60.80945457,371.9063896,0,0.658461466,55.82566051,405.1092379,55.82566051,120,63.2472192,0.23,1.293006025,0.016666667,0.0215501,0.517412231
52,63.23267105,21.36620565,62.60214954,370.8672392,0,0.675875437,56.30942057,412.3160033,56.30942057,120,64.37376,0.23,1.337570401,0.016666667,0.02229284,0.539705071
53,64.32684596,21.47611911,64.54050712,369.7519135,0,0.693593565,56.88383761,419.5246478,56.88383761,120,65.5003008,0.23,1.386079619,0.016666667,0.023101327,0.562806398
54,65.41427505,21.59275036,66.89287962,368.4157973,0,0.711614598,57.75171629,426.7384836,57.75171629,120,66.6268416,0.23,1.444401251,0.016666667,0.024073354,0.586879752
55,66.60337209,21.73069631,72.76158369,365.1828487,0,0.729948829,61.08074633,435.0208783,61.08074633,120,67.9143168,0.23,1.581159878,0.016666667,0.026352665,0.613232417
56,67.76480064,21.87417977,70.76038453,366.1881586,0,0.748615781,58.59929102,442.1787226,58.59929102,120,69.0408576,0.23,1.547825372,0.016666667,0.02579709,0.639029506
57,68.78096577,22.00640369,67.81853131,367.7082568,0,0.767585393,55.62602458,448.2995281,55.62602458,120,70.006464,0.23,1.492441978,0.016666667,0.024874033,0.663903539
58,69.64936152,22.12625471,64.10008267,369.6538406,0,0.786816672,52.26065269,453.3851351,52.26065269,120,70.811136,0.23,1.418294756,0.016666667,0.023638246,0.687541785
59,70.26831659,22.22137656,56.20859673,373.856473,0,0.80625742,46.04490001,456.3668974,46.04490001,120,71.2939392,0.23,1.249032394,0.016666667,0.020817207,0.708358992
60,70.65541309,22.29507487,52.47756076,375.8325287,0,0.82583447,43.02802293,458.3735956,43.02802293,120,71.615808,0.23,1.169991146,0.016666667,0.019499852,0.727858844
61,71.07453871,22.37436207,56.13094724,373.8327548,0,0.845516948,45.46770141,461.4982801,45.46770141,120,72.0986112,0.23,1.255894137,0.016666667,0.020931569,0.748790413
62,71.3625192,22.44302445,48.87391603,377.7036242,0,0.865306593,39.91811803,462.4351747,39.91811803,120,72.2595456,0.23,1.096878492,0.016666667,0.018281308,0.767071721
63,71.52868042,22.50175732,48.57560596,377.8379421,0,0.885153315,39.60170061,463.4578001,39.60170061,120,72.42048,0.23,1.093036497,0.016666667,0.018217275,0.785288996
64,71.67274907,22.55957618,49.55638639,377.283114,0,0.905042551,40.25290543,464.4977403,40.25290543,120,72.5814144,0.23,1.117971074,0.016666667,0.018632851,0.803921848
65,72.0029075,22.63636558,58.34090218,372.5209997,0,0.924991447,46.47063357,467.6860261,46.47063357,120,73.0642176,0.23,1.32062599,0.016666667,0.022010433,0.825932281
66,72.45985665,22.72855623,59.87348848,371.6482988,0,0.945055784,47.26569149,470.7851624,47.26569149,120,73.5470208,0.23,1.360837949,0.016666667,0.022680632,0.848612913
67,72.92887387,22.82443607,60.70021569,371.1546398,0,0.965249208,47.54257007,473.8751141,47.54257007,120,74.029824,0.23,1.385448193,0.016666667,0.023090803,0.871703716
68,73.4063615,22.9235895,61.02618558,370.9299453,0,0.985574224,47.4594849,476.9586975,47.4594849,120,74.5126272,0.23,1.398939227,0.016666667,0.023315654,0.89501937
69,73.78709798,23.01332475,57.62533338,372.7132337,0,1.00602145,44.84150176,478.9726385,44.84150176,120,74.834496,0.23,1.326150511,0.016666667,0.022102509,0.917121879
70,74.20808506,23.10929985,61.22666735,370.7330077,0,1.026574076,47.08294546,482.0939526,47.08294546,120,75.3172992,0.23,1.414905414,0.016666667,0.023581757,0.940703636
71,74.50481462,23.1924348,53.36627432,374.9152265,0,1.047235236,41.42080882,483.0290197,41.42080882,120,75.4782336,0.23,1.237693838,0.016666667,0.020628231,0.961331866
72,74.67908174,23.26281698,52.59990232,375.2946443,0,1.067956023,40.7821192,484.0462358,40.7821192,120,75.639168,0.23,1.223621901,0.016666667,0.020393698,0.981725565
73,74.84187536,23.33220601,52.50135456,375.3147988,0,1.088723126,40.62187249,485.0719697,40.62187249,120,75.8001024,0.23,1.224972421,0.016666667,0.020416207,1.002141772
74,75.00336494,23.40150553,52.47820443,375.2934977,0,1.109535187,40.51590597,486.0986263,40.51590597,120,75.9610368,0.23,1.228068991,0.016666667,0.020467817,1.022609588
75,75.17728158,23.47199589,51.72598027,375.6620001,0,1.130393926,39.88969504,487.1158982,39.88969504,120,76.1219712,0.23,1.214111996,0.016666667,0.0202352,1.042844788
76,75.1685583,23.52517711,43.06701434,380.2845237,0,1.151281757,33.69914839,485.9849996,33.69914839,120,75.9610368,0.23,1.01315914,0.016666667,0.016885986,1.059730774
77,75.0311269,23.56669856,41.73453208,380.9810014,0,1.172143243,32.78746732,484.9407739,32.78746732,120,75.8001024,0.23,0.983545137,0.016666667,0.016392419,1.076123193
78,74.88121959,23.60619705,41.11435085,381.2939497,0,1.192964283,32.39597261,483.905769,32.39597261,120,75.639168,0.23,0.970553468,0.016666667,0.016175891,1.092299084
79,74.72371002,23.64398272,40.92986132,381.3720832,0,1.213742481,32.32655358,482.8764965,32.32655358,120,75.4782336,0.23,0.967744934,0.016666667,0.016129082,1.108428166
80,74.65915848,23.687514,44.57232316,379.3902961,0,1.234486743,35.01704154,482.920847,35.01704154,120,75.4782336,0.23,1.055807529,0.016666667,0.017596792,1.126024958
81,74.65346198,23.73447584,44.91074182,379.1779909,0,1.255224235,35.26302452,482.925673,35.26302452,120,75.4782336,0.23,1.065932917,0.016666667,0.017765549,1.143790507
82,74.74703005,23.7886335,48.74771614,377.0835472,0,1.275971122,37.97969074,483.9989028,37.97969074,120,75.639168,0.23,1.159641554,0.016666667,0.019327359,1.163117866
83,74.91261359,23.84812328,48.4877864,377.1841636,0,1.29675713,37.70651938,485.0228135,37.70651938,120,75.8001024,0.23,1.156342708,0.016666667,0.019272378,1.182390245
84,74.98743,23.89853767,44.24999973,379.4255427,0,1.317579817,34.61975004,484.9720524,34.61975004,120,75.8001024,0.23,1.057510286,0.016666667,0.017625171,1.200015416
85,75.10376239,23.95106265,46.76748292,378.0417763,0,1.33842311,36.37571137,486.0283698,36.37571137,120,75.9610368,0.23,1.120130913,0.016666667,0.018668849,1.218684264
86,75.09447119,23.99229522,38.22014822,382.6008565,0,1.359290206,30.1561034,484.8972292,30.1561034,120,75.8001024,0.23,0.91698908,0.016666667,0.015283151,1.233967416
87,74.96194434,24.02304968,36.62534268,383.4382721,0,1.380131748,29.02441421,483.8493275,29.02441421,120,75.639168,0.23,0.879852427,0.016666667,0.014664207,1.248631623
88,74.83630073,24.05260952,34.63807385,384.4849736,0,1.400937121,27.58288508,482.7957338,27.58288508,120,75.4782336,0.23,0.833136065,0.016666667,0.013885601,1.262517224
89,74.41542576,24.06598479,22.40037178,391.0451231,0,1.421675765,18.30492816,478.5290419,18.30492816,120,74.834496,0.23,0.539087007,0.016666667,0.008984783,1.271502007
90,73.98374489,24.07708661,28.39504372,387.8264844,0,1.442280345,23.1094647,476.5510269,23.1094647,120,74.5126272,0.23,0.683669927,0.016666667,0.011394499,1.282896506
91,73.74516954,24.09495455,32.69838787,385.5025236,0,1.462794081,26.50653372,475.5800227,26.50653372,120,74.3516928,0.23,0.78786617,0.016666667,0.013131103,1.296027609
92,73.76161802,24.12543066,40.77204711,381.1429642,0,1.483274194,32.59966622,476.7099378,32.59966622,120,74.5126272,0.23,0.983643195,0.016666667,0.016394053,1.312421662
93,73.99437229,24.16920239,45.83803895,378.3864373,0,1.503792185,36.22433985,478.8280817,36.22433985,120,74.834496,0.23,1.107868841,0.016666667,0.018464481,1.330886143
94,74.50124955,24.23549915,53.67842474,374.130438,0,1.524410505,41.57622035,483.0299046,41.57622035,120,75.4782336,0.23,1.300923417,0.016666667,0.021682057,1.3525682
95,74.9549812,24.29560971,46.15719966,378.1179991,0,1.545174688,35.98538142,484.9951919,35.98538142,120,75.8001024,0.23,1.121417309,0.016666667,0.018690288,1.371258488
96,75.3868203,24.35204691,49.06947577,376.5170412,0,1.566053338,37.85129107,488.1105175,37.85129107,120,76.2829056,0.23,1.194942176,0.016666667,0.019915703,1.391174191
97,75.87301927,24.41194523,48.89404914,376.5707028,0,1.587062078,37.48453176,491.1900399,37.48453176,120,76.7657088,0.23,1.19359885,0.016666667,0.019893314,1.411067506
98,76.37069721,24.47139638,48.05011607,376.9844969,0,1.608207714,36.64826568,494.2610042,36.64826568,120,77.248512,0.23,1.175853436,0.016666667,0.019597557,1.430665063
99,76.77288129,24.52075479,43.49800674,379.3932911,0,1.629481368,33.25432279,496.2619639,33.25432279,120,77.5703808,0.23,1.066603957,0.016666667,0.017776733,1.448441795
100,77.20220088,24.57049793,46.54430127,377.7296192,0,1.650864474,35.20628994,499.3789665,35.20628994,120,78.053184,0.23,1.143616658,0.016666667,0.019060278,1.467502073
101,77.68998039,24.6234705,46.27686272,377.8395004,0,1.672377664,34.79929138,502.4578203,34.79929138,120,78.5359872,0.23,1.139496964,0.016666667,0.018991616,1.486493689
102,78.19615075,24.6762226,44.94234187,378.5215325,0,1.694029229,33.65029192,505.5231962,33.65029192,120,79.0187904,0.23,1.109007232,0.016666667,0.018483454,1.504977143
103,78.53540755,24.7136724,34.88746797,383.8868814,0,1.715804461,26.44338902,506.4314702,26.44338902,120,79.1797248,0.23,0.862197454,0.016666667,0.014369958,1.519347101
104,78.55670335,24.72988862,24.81389667,389.2807919,0,1.737629951,19.11663379,505.2813635,19.11663379,120,79.0187904,0.23,0.613644901,0.016666667,0.010227415,1.529574516
105,78.53095292,24.74190798,26.20903119,388.530967,0,1.759445208,20.15204843,505.2972108,20.15204843,120,79.0187904,0.23,0.648461438,0.016666667,0.010807691,1.540382206
106,78.45624226,24.75058216,21.50456994,391.0499507,0,1.781251897,16.67815094,504.2117786,16.67815094,120,78.857856,0.23,0.532250625,0.016666667,0.008870844,1.54925305
107,78.40662621,24.75863008,24.21546016,389.5934582,0,1.803035321,18.7101707,504.2451555,18.7101707,120,78.857856,0.23,0.59954162,0.016666667,0.00999236,1.55924541
108,78.50796869,24.7709418,27.49019742,387.8255599,0,1.824825633,21.09879692,505.3132526,21.09879692,120,79.0187904,0.23,0.68095808,0.016666667,0.011349301,1.570594712
109,78.68030394,24.78467753,26.86866638,388.1417229,0,1.8466572,20.59661286,506.3336634,20.59661286,120,79.1797248,0.23,0.665931232,0.016666667,0.011098854,1.581693565
110,78.8607888,24.79716965,25.79605867,388.7005057,0,1.868538086,19.76321055,507.3481471,19.76321055,120,79.3406592,0.23,0.639669243,0.016666667,0.010661154,1.59235472
111,79.04291113,24.80819284,24.63523587,389.3078413,0,1.890469389,18.86565396,508.3615476,18.86565396,120,79.5015936,0.23,0.611155682,0.016666667,0.010185928,1.602540648
112,79.23156255,24.81801586,23.11206708,390.1101821,0,1.91245225,17.70001708,509.3701205,17.70001708,120,79.662528,0.23,0.573595647,0.016666667,0.009559927,1.612100575
113,79.32886738,24.82357474,17.81994878,392.937994,0,1.934477912,13.74778507,509.3046519,13.74778507,120,79.662528,0.23,0.44235483,0.016666667,0.007372581,1.619473156
114,79.36707067,24.82646334,15.74300541,394.0474565,0,1.956519436,12.18013829,509.2776777,12.18013829,120,79.662528,0.23,0.390843147,0.016666667,0.006514052,1.625987208
