t,Main_ActualVehicleSpeed_kph,Main_Battery_Temperature_C,Main_Battery_electrical_i,Main_Battery_electrical_v,Main_BrakeCommand_value,Main_Distance_km,Main_MG_i,Main_MG_v,Main_MotorCommand_value,Main_Range_km,Main_RefereceVehicleSpeed_kph,Main_State_of_Charge_SoC,Power_kW,dT_hr,Energy_kWhr,Cumulative_Energy_Used_kWhr
115,79.3182513,24.82704861,9.709203086,397.2816002,0,1.978562415,7.588815034,508.172267,7.588815034,120,79.5015936,0.23,0.241050857,0.016666667,0.004017514,1.630004722
116,79.01040007,24.82626614,0.436711991,402.2648706,0,2.000558964,0.347369101,504.9669587,0.347369101,120,79.0187904,0.23,0.010841928,0.016666667,0.000180699,1.630185421
117,78.66436259,24.82573377,1.693290146,401.6083013,0,2.022455189,1.351664269,502.9254608,1.351664269,120,78.6969216,0.23,0.04203717,0.016666667,0.00070062,1.630886041
118,78.24654168,24.82597747,-1.22441763,403.1876519,0.020597897,2.044247592,1.02E-16,499.8176928,1.02E-16,120,78.2141184,0.23,-0.030397364,0.016666667,-0.000506623,1.630379418
119,77.90317159,24.82614096,-0.510229396,402.8177443,0.008620951,2.065928912,1.02E-16,497.7617381,1.02E-16,120,77.8922496,0.23,-0.012667027,0.016666667,-0.000211117,1.630168301
120,77.48086067,24.82693639,-2.856158389,404.0869191,0.048673974,2.087503341,1.02E-16,494.676405,1.02E-16,120,77.4094464,0.23,-0.070909663,0.016666667,-0.001181828,1.628986473
121,76.87756875,24.82914186,-4.366661037,404.9108021,0.075173525,2.108919629,1.02E-16,490.5617613,1.02E-16,120,76.7657088,0.23,-0.108420446,0.016666667,-0.001807007,1.627179466
122,76.35153605,24.83111591,-2.655420625,404.0059314,0.04589095,2.130173763,1.02E-16,487.4760602,1.02E-16,120,76.2829056,0.23,-0.065937057,0.016666667,-0.001098951,1.626080515
123,76.10551164,24.83169136,0.850223832,402.133498,0,2.151332558,0.704129164,486.4575775,0.704129164,120,76.1219712,0.23,0.021112496,0.016666667,0.000351875,1.62643239
124,76.24163104,24.83077704,10.73993572,396.8266477,0,2.172482625,8.723097811,488.6508458,8.723097811,120,76.44384,0.23,0.266680949,0.016666667,0.004444682,1.630877072
125,76.66469411,24.83143769,13.9388921,395.0915653,0,2.193716292,11.19761805,491.7772596,11.19761805,120,76.9266432,0.23,0.34612273,0.016666667,0.005768712,1.636645784
126,76.97845034,24.83079177,5.783673011,399.449457,0,2.215062257,4.688160304,492.6981111,4.688160304,120,77.0875776,0.23,0.14361318,0.016666667,0.002393553,1.639039337
127,77.18393471,24.82961158,3.401895577,400.7239343,0,2.236474601,2.759939849,493.693101,2.759939849,120,77.248512,0.23,0.084467746,0.016666667,0.001407796,1.640447133
128,77.1457021,24.83002041,-2.206613711,403.7378768,0.037719029,2.257910498,0,492.6186721,0,120,77.0875776,0.23,-0.054790263,0.016666667,-0.000913171,1.639533962
129,77.11409361,24.83064962,-1.068899051,403.1377861,0.018246713,2.279323294,0,492.6191113,0,120,77.0875776,0.23,-0.026541458,0.016666667,-0.000442358,1.639091604
130,77.11943082,24.83127741,-1.210738146,403.2216541,0.020665699,2.300736115,0,492.6186384,0,120,77.0875776,0.23,-0.030064175,0.016666667,-0.00050107,1.638590535
131,77.25996864,24.83141842,4.34E-07,402.5778716,0,2.322172522,-0.49476091,493.6385738,-0.49476091,120,77.248512,0.23,1.08E-08,0.016666667,1.80E-10,1.638590535
132,77.30926464,24.83219776,-2.374174227,403.8563903,0.040515436,2.343634349,0,493.6474893,0,120,77.248512,0.23,-0.058955964,0.016666667,-0.000982599,1.637607935
133,77.32321316,24.83337788,-2.993115854,404.1954516,0.051126504,2.365096647,0,493.647965,0,120,77.248512,0.23,-0.074329177,0.016666667,-0.00123882,1.636369116
134,77.2452752,24.83539704,-6.430527063,406.0459979,0.110593331,2.386546943,0,492.6213353,0,120,77.0875776,0.23,-0.159704693,0.016666667,-0.002661745,1.633707371
135,76.52192543,24.8438557,-16.01052905,411.1993298,0.282340643,2.407856257,0,486.451598,0,120,76.1219712,0.23,-0.397763274,0.016666667,-0.006629388,1.627077983
136,74.76578063,24.86787543,-29.58766249,418.5108541,0.546048991,2.428760331,0,473.0853286,0,120,74.029824,0.23,-0.735782305,0.016666667,-0.012263038,1.614814945
137,70.77996185,24.94165685,-43.19963446,425.8731509,0.861685962,2.448735582,0,445.3073691,0,120,69.6845952,0.23,-1.077470459,0.016666667,-0.017957841,1.596857104
138,67.11889765,25.00232729,-32.40528578,420.147218,0.670196091,2.467607426,0,423.7125498,0,120,66.3049728,0.23,-0.810207561,0.016666667,-0.013503459,1.583353644
139,64.16218194,25.04467507,-23.20338234,415.2562523,0.494636306,2.485618611,0,406.2240055,0,120,63.569088,0.23,-0.581121171,0.016666667,-0.009685353,1.573668291
140,63.27441912,25.05597993,-7.663234842,406.9356084,0.161344372,2.503189954,0,403.1459972,0,120,63.0862848,0.23,-0.192009858,0.016666667,-0.003200164,1.570468127
141,62.95107455,25.06142108,-7.330603843,406.7529286,0.155049675,2.520670293,0,401.0877124,0,120,62.764416,0.23,-0.18371535,0.016666667,-0.003061922,1.567406205
142,62.89199962,25.06508439,-5.038422388,405.5205522,0.106248086,2.538104841,0,401.0882409,0,120,62.764416,0.23,-0.126288482,0.016666667,-0.002104808,1.565301397
143,63.01192157,25.06772332,-3.322018389,404.5971868,0.069697384,2.555559043,0,402.115612,0,120,62.9253504,0.23,-0.083275438,0.016666667,-0.001387924,1.563913473
144,63.55372612,25.06828982,0.829856903,402.3656013,0,2.57312017,0.822951424,406.2439285,0.822951424,120,63.569088,0.23,0.020803093,0.016666667,0.000346718,1.564260191
145,64.39860039,25.06736659,7.236356271,398.9206135,0,2.590886119,7.000119302,412.5187779,7.000119302,120,64.5346944,0.23,0.181396395,0.016666667,0.003023273,1.567283464
146,65.64767311,25.06807192,17.9052103,393.1777343,0,2.60893941,16.68642574,421.9360712,16.68642574,120,65.983104,0.23,0.4488491,0.016666667,0.007480818,1.574764282
147,67.17079202,25.07349541,22.59482042,390.628052,0,2.627384653,20.41861297,432.2836523,20.41861297,120,67.592448,0.23,0.566531126,0.016666667,0.009442185,1.584206468
148,68.89228661,25.08542976,25.23258451,389.1719031,0,2.646281542,22.1329599,443.6233511,22.1329599,120,69.3627264,0.23,0.632970226,0.016666667,0.010549504,1.594755972
149,70.19932539,25.08793381,6.860257572,398.9928959,0,2.665618359,6.086226087,449.5276314,6.086226087,120,70.3283328,0.23,0.172109688,0.016666667,0.002868495,1.597624466
150,71.00880591,25.08737749,-1.47025598,403.4638395,0.027308121,2.685239468,1.02E-16,453.5397065,1.02E-16,120,70.9720704,0.23,-0.036884867,0.016666667,-0.000614748,1.597009719
151,71.41245136,25.08914406,-4.667069593,405.1945311,0.086585533,2.705008129,1.02E-16,455.5958605,1.02E-16,120,71.2939392,0.23,-0.117092781,0.016666667,-0.001951546,1.595058172
152,71.59971628,25.09247169,-5.648431419,405.7400008,0.104680827,2.724840012,1.02E-16,456.6233892,1.02E-16,120,71.4548736,0.23,-0.141733105,0.016666667,-0.002362218,1.592695954
153,71.89463957,25.09513324,-4.704981673,405.2499053,0.086713233,2.744738402,1.02E-16,458.6812787,1.02E-16,120,71.7767424,0.23,-0.118072142,0.016666667,-0.001967869,1.590728085
154,72.08971954,25.0986405,-5.931305129,405.921734,0.109234836,2.764704589,1.02E-16,459.7086927,1.02E-16,120,71.9376768,0.23,-0.148867695,0.016666667,-0.002481128,1.588246957
155,72.36986291,25.10161071,-4.32112287,405.071505,0.079058117,2.784733727,1.02E-16,461.7656328,1.02E-16,120,72.2595456,0.23,-0.108467144,0.016666667,-0.001807786,1.586439171
156,72.80823109,25.10357402,-2.519861391,404.1149255,0.045678595,2.80487172,1.02E-16,464.8504653,1.02E-16,120,72.7423488,0.23,-0.063257527,0.016666667,-0.001054292,1.585384879
